case_id,classification,leaves,index,expected_root_hex,actual_root_hex,expected_proof_steps,actual_proof_steps,expected_outcome,actual_outcome,verification_result,exception_type,observation,passed
c01,success,"[""61""]",0,5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d,5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d,[],[],success,success,True,,,True
c02,success,"[""61"",""62""]",0,c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6,c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6,"[[""4af98d9d0ff04fc04743c5adf4959bb5eccf493fafed5b4e90b921627325b318"",""right""]]","[[""4af98d9d0ff04fc04743c5adf4959bb5eccf493fafed5b4e90b921627325b318"",""right""]]",success,success,True,,,True
c03,success,"[""61"",""62""]",1,c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6,c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6,"[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""left""]]","[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""left""]]",success,success,True,,,True
c04,success,"[""61"",""62"",""63""]",2,17709435ac974a91e14c30a6e39e4cf74cbf7bf5df6e49d77ced8a39159a5c9c,17709435ac974a91e14c30a6e39e4cf74cbf7bf5df6e49d77ced8a39159a5c9c,"[[""aa8d78cb634e081b23513c9163b6f5003062f156f742a36eaa7934f931beb22e"",""right""],[""c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6"",""left""]]","[[""aa8d78cb634e081b23513c9163b6f5003062f156f742a36eaa7934f931beb22e"",""right""],[""c91d808466c298187df3c71e1700099cbc8e207fcf419377989a56cbf467fda6"",""left""]]",success,success,True,,,True
c05,success,"[""61"",""62"",""63"",""64""]",1,004b7b719bdb2e0a807314e3e0feda3d35104dc788d6939b1d58c8d44455d9c3,004b7b719bdb2e0a807314e3e0feda3d35104dc788d6939b1d58c8d44455d9c3,"[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""left""],[""3d1f97ddb23fa3e05de46a6754503a355ab868806f812d3c2eb9e547e8ae1334"",""right""]]","[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""left""],[""3d1f97ddb23fa3e05de46a6754503a355ab868806f812d3c2eb9e547e8ae1334"",""right""]]",success,success,True,,,True
c06,success,"[""61"",""62"",""63"",""64"",""65""]",4,f4e91f117583cbdd45cd6d9b3f6951bc23a7a7ff316a35ce762e95c77e255006,f4e91f117583cbdd45cd6d9b3f6951bc23a7a7ff316a35ce762e95c77e255006,"[[""f2548acfbf4d37b342afecad187892568e1703f088e995bb87630e9bd701ec31"",""right""],[""390d30f0e65b9dce24512bc7a477ab409a97817364e35f12d34ccda8994a240e"",""right""],[""004b7b719bdb2e0a807314e3e0feda3d35104dc788d6939b1d58c8d44455d9c3"",""left""]]","[[""f2548acfbf4d37b342afecad187892568e1703f088e995bb87630e9bd701ec31"",""right""],[""390d30f0e65b9dce24512bc7a477ab409a97817364e35f12d34ccda8994a240e"",""right""],[""004b7b719bdb2e0a807314e3e0feda3d35104dc788d6939b1d58c8d44455d9c3"",""left""]]",success,success,True,,,True
c07,success,"[""62"",""61""]",0,ea370eb224028d6fa3b98f55ca674db35c23d9a61004f5774bd3c1741247857b,ea370eb224028d6fa3b98f55ca674db35c23d9a61004f5774bd3c1741247857b,"[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""right""]]","[[""5ce0c36729575ed8f79033158ff52da7f125edf52c79186fd033eaa02475b42d"",""right""]]",success,success,True,,,True
c08,success,"[""78"",""79"",""78""]",0,6a28c031e302da7806cc9905f1697e8abbcfba8c3e4477190f2be4e5f86233b8,6a28c031e302da7806cc9905f1697e8abbcfba8c3e4477190f2be4e5f86233b8,"[[""dbef5d7960f97614ad7164b98b1790645bf2cf2f0fcdbaf38f2d2749369d6310"",""right""],[""0bea808e674960173fb995573d378ef49e8955db5dc0d8cae4ab81232063df9e"",""right""]]","[[""dbef5d7960f97614ad7164b98b1790645bf2cf2f0fcdbaf38f2d2749369d6310"",""right""],[""0bea808e674960173fb995573d378ef49e8955db5dc0d8cae4ab81232063df9e"",""right""]]",success,success,True,,,True
c09,success,"[""78"",""79"",""78""]",2,6a28c031e302da7806cc9905f1697e8abbcfba8c3e4477190f2be4e5f86233b8,6a28c031e302da7806cc9905f1697e8abbcfba8c3e4477190f2be4e5f86233b8,"[[""2474db85d6031d26cb9a5e99fe5b33320c184bbbda1c1f7e30f9d8d929d23414"",""right""],[""caacab94023a51ee9fd2d5e93afe6fb9fab0fd4acbac4085007b583ec05f4633"",""left""]]","[[""2474db85d6031d26cb9a5e99fe5b33320c184bbbda1c1f7e30f9d8d929d23414"",""right""],[""caacab94023a51ee9fd2d5e93afe6fb9fab0fd4acbac4085007b583ec05f4633"",""left""]]",success,success,True,,,True
c10,success,"[""""]",0,8855508aade16ec573d21e6a485dfd0a7624085c1a14b5ecdd6485de0c6839a4,8855508aade16ec573d21e6a485dfd0a7624085c1a14b5ecdd6485de0c6839a4,[],[],success,success,True,,,True
